quarter,n_reviews,topic_0_sent,topic_0_prev,topic_1_sent,topic_1_prev,topic_2_sent,topic_2_prev,topic_3_sent,topic_3_prev,topic_4_sent,topic_4_prev,topic_5_sent,topic_5_prev,topic_6_sent,topic_6_prev,topic_7_sent,topic_7_prev,EPI
2015Q1,413,0.8738378343086455,0.2643159397743091,0.8909623136283706,0.03998411701147135,0.8969600122175436,0.1231157434481444,0.4261552115606318,0.11709309751148404,0.8659582983948002,0.10812768592948463,0.601212629030523,0.09907896796163673,0.785487831507435,0.12175762324014414,0.8803331393165282,0.12652682512332555,0.776878871967301
2015Q2,611,0.9038478870791186,0.24552297305899312,0.879140287837552,0.04784213379290609,0.8831832513538395,0.10066822759811862,0.45271464742654716,0.14536671743562035,0.7863473647467165,0.11709676026315383,0.5683552977220034,0.10374247656868996,0.7921556715529324,0.11419050213236648,0.9112896818660791,0.1255702091501517,0.7787128503440904
2015Q3,584,0.8941687272926756,0.23874590364888593,0.883870925078228,0.05032207765198647,0.9057606035528527,0.10014700639041921,0.48219250673196573,0.12049785861050327,0.8251083240412334,0.10478727213764844,0.5389777131343044,0.12318859554195145,0.8081305583050694,0.12219186647911255,0.8925128246756635,0.14011941953949283,0.783082063879437
2016Q1,553,0.9081776268621595,0.2501987088184894,0.8791455407252694,0.04388766918062835,0.8993629054093109,0.11437359758767503,0.4140709259656569,0.11299092770510115,0.8180147145231159,0.11639527354926385,0.5350224818964595,0.11106505736505236,0.8583512955444496,0.11671386103547346,0.9223291154068004,0.13437490475831598,0.7852468398108893
2016Q2,584,0.9090099293615481,0.22042798333183086,0.9422762713799916,0.050488334890989056,0.84763360415312,0.10085636213201508,0.4618469963595365,0.1369477915700912,0.8101418490149824,0.11562761124975483,0.58556547428387,0.11649150407638842,0.8389047967792078,0.11414927329046771,0.9020398738733372,0.14501113945846264,0.7881481577877112
2016Q3,497,0.9206168799451953,0.23103439381994786,0.8902068393676604,0.04024028733712788,0.8922637301242596,0.10509605944377487,0.3168645617650633,0.1447471049733419,0.833818663078133,0.11410817775681775,0.5169168988440648,0.11879007903104197,0.8465116616892487,0.12088755791916891,0.9072882683138332,0.12509633971877832,0.7703964255425548
2017Q1,380,0.9066085368727744,0.2378991683425276,0.9624493411592423,0.056310834532622395,0.8781277066074126,0.13090074255531953,0.4241502279593065,0.11764167911175771,0.8992418443608053,0.09120176759210055,0.5305443248659133,0.1057059778734284,0.8307055536579664,0.12142099444604976,0.9136166492852298,0.13891883554619397,0.7909497128492453
2017Q2,118,0.8585163562874366,0.2757106455487767,0.9639811309279952,0.04208433732009068,0.9377461883161947,0.1235260744797151,0.22596467088033495,0.127729101551593,0.8164409504561672,0.08289283198141592,0.3514828400912301,0.08893762887433847,0.9267202954968617,0.11508889904325327,0.885576853379515,0.14403048120081682,0.7392958326422222
2017Q3,408,0.9046501495961781,0.22327995849846066,0.8791887249178463,0.05212330989527031,0.8502735297705682,0.11712757699971076,0.263905144037612,0.13246458712599113,0.8095620706221344,0.08065098334001079,0.44134942749218276,0.13373678753074997,0.8386584596109927,0.11764242216533588,0.837945051854942,0.14297437444447045,0.7318035270425185
2018Q1,453,0.8506353003302501,0.2086081684171124,0.7411469903075262,0.044505487227201726,0.861119667329907,0.11393178903637592,0.25359414220429316,0.1467247174067785,0.7920927346593244,0.09698600537446017,0.46970778696778764,0.13459902567655266,0.7794866020700857,0.13005735218102177,0.8823285298333053,0.12458745468049696,0.7149139396667401
2018Q2,453,0.9203051659948251,0.20782518138725062,0.8789105486872667,0.051362709725239306,0.8714407435783933,0.12948961812082752,0.4240017821428474,0.13166642580431445,0.8200829546102981,0.10768300351148494,0.4954172713223172,0.10275856893805531,0.8353708461955989,0.1137137564486893,0.9178332577758636,0.15550073606413897,0.7784601637326323
